ID,Age,InfraredScanResults,VisualConditions,Pad,Loading,HealthIndex
1040,40,0.49,Serious Defects,Serious Defects,20.22,1.3
1041,18,0.01,Moderate Defects,Moderate Defects,19.6,3.9
1042,16,0.01,Minor Defects,Moderate Defects,33,5
1043,40,0.52,Serious Defects,Serious Defects,20.71,1.6
1044,24,0.05,Moderate Defects,Significant Defects,47.62,3.8
1045,15,0.01,Minor Defects,Moderate Defects,34.24,4.6
1046,31,0.17,Significant Defects,Significant Defects,49.18,2.5
1047,46,0.97,Serious Defects,Serious Defects,22.59,0.5
1048,29,0.12,Significant Defects,Significant Defects,21.79,3.8
1049,39,0.47,Serious Defects,Serious Defects,40.61,2
1050,46,0.93,Serious Defects,Serious Defects,55.6,1
1051,17,0.01,Moderate Defects,Moderate Defects,42.21,3.8
1052,16,0.01,Minor Defects,Moderate Defects,29.63,4.8
1053,45,0.86,Serious Defects,Serious Defects,40.45,1.8
1054,38,0.42,Serious Defects,Serious Defects,24.57,1.6
1055,16,0.01,Minor Defects,Moderate Defects,51.85,5
1056,45,0.89,Serious Defects,Serious Defects,47.64,0.5
1057,31,0.17,Significant Defects,Significant Defects,40.07,3
1058,15,0.01,Minor Defects,Moderate Defects,55.33,4.4
1059,18,0.01,Moderate Defects,Moderate Defects,50.28,3.7
1060,15,0.01,Minor Defects,Moderate Defects,27.09,5
1061,15,0.01,Minor Defects,Moderate Defects,30.37,4.7
1062,31,0.16,Significant Defects,Serious Defects,53.16,3
1063,44,0.8,Serious Defects,Serious Defects,25.18,1.9
1064,30,0.14,Significant Defects,Serious Defects,44.58,2.3
1065,43,0.68,Serious Defects,Serious Defects,29.11,1.4
1066,16,0.01,Minor Defects,Moderate Defects,30.9,4.5
1067,45,0.87,Serious Defects,Serious Defects,46.58,1.6
1068,42,0.67,Serious Defects,Serious Defects,24.75,1.6
1069,46,0.94,Serious Defects,Serious Defects,37.73,0.8
1070,46,1,Serious Defects,Serious Defects,24.68,0.4
1071,27,0.08,Moderate Defects,Significant Defects,33.23,3.8
1072,41,0.57,Serious Defects,Serious Defects,46.62,1.7
1073,26,0.08,Significant Defects,Significant Defects,36.07,3.8
1074,31,0.16,Significant Defects,Significant Defects,27.25,2.8
1075,15,0.01,Minor Defects,Moderate Defects,25.32,4.2
1076,38,0.42,Serious Defects,Serious Defects,34.3,1.5
1077,23,0.04,Moderate Defects,Moderate Defects,28.61,3.8
1078,32,0.19,Significant Defects,Serious Defects,19.7,2.9
1079,39,0.45,Serious Defects,Serious Defects,45.32,1.2
1080,44,0.75,Serious Defects,Serious Defects,46.77,1.6
1081,46,0.91,Serious Defects,Serious Defects,44.31,0.1
1082,43,0.7,Serious Defects,Serious Defects,44.7,2
1083,29,0.12,Significant Defects,Significant Defects,30.94,3.1
1084,44,0.76,Serious Defects,Serious Defects,41.2,1.7
1085,33,0.21,Significant Defects,Serious Defects,52.55,2.9
1086,46,0.99,Serious Defects,Serious Defects,41.12,0.2
1087,15,0.01,Minor Defects,Moderate Defects,36.63,4.1
1088,15,0.01,Minor Defects,Moderate Defects,40.49,4.4
1089,46,0.93,Serious Defects,Serious Defects,20.27,0.4
1090,33,0.23,Significant Defects,Serious Defects,44,2.6
1091,16,0.01,Minor Defects,Moderate Defects,49.03,4.7
1092,23,0.04,Moderate Defects,Moderate Defects,33,3.1
1093,46,0.93,Serious Defects,Serious Defects,38.38,0.2
1094,37,0.38,Significant Defects,Serious Defects,31.51,2.6
1095,37,0.38,Significant Defects,Serious Defects,49.67,2.7
1096,43,0.68,Serious Defects,Serious Defects,50.19,1.5
1097,24,0.05,Moderate Defects,Significant Defects,49.8,3.7
1098,46,0.95,Serious Defects,Serious Defects,32.36,0.2
1099,28,0.1,Significant Defects,Significant Defects,49.62,3.5
1100,15,0.01,Minor Defects,Moderate Defects,31.08,4.1
1101,16,0.01,Minor Defects,Moderate Defects,19.99,4.2
1102,46,0.98,Serious Defects,Serious Defects,24.49,0.1
1103,32,0.19,Significant Defects,Serious Defects,34.34,2.5
1104,43,0.69,Serious Defects,Serious Defects,31.61,1.1
1105,46,0.94,Serious Defects,Serious Defects,21.9,0.2
1106,16,0.01,Minor Defects,Moderate Defects,54.78,5
1107,42,0.65,Serious Defects,Serious Defects,49.5,1.4
1108,45,0.88,Serious Defects,Serious Defects,34.87,0.6
1109,33,0.22,Significant Defects,Serious Defects,28.45,2.7
1110,41,0.56,Serious Defects,Serious Defects,19.85,1.9
1111,33,0.22,Significant Defects,Serious Defects,55.34,2.5
1112,15,0.01,Minor Defects,Moderate Defects,44.06,4.1
1113,46,0.92,Serious Defects,Serious Defects,37.71,0.5
1114,33,0.22,Significant Defects,Serious Defects,25.63,2.7
1115,45,0.91,Serious Defects,Serious Defects,47.29,0.8
1116,15,0.01,Minor Defects,Moderate Defects,42.41,4.3
1117,36,0.32,Serious Defects,Serious Defects,29.84,2.3
1118,28,0.1,Significant Defects,Significant Defects,19.89,3.4
1119,19,0.02,Moderate Defects,Moderate Defects,31.07,3.2
1120,15,0.01,Minor Defects,Moderate Defects,21.06,4.5
1121,20,0.02,Moderate Defects,Moderate Defects,19.43,3.5
1122,42,0.64,Serious Defects,Serious Defects,31.89,1.6
1123,18,0.01,Moderate Defects,Moderate Defects,32.66,3.6
1124,38,0.41,Serious Defects,Serious Defects,21.55,1.6
1125,45,0.9,Serious Defects,Serious Defects,35.76,0.6
1126,44,0.76,Serious Defects,Serious Defects,49.65,1.3
1127,46,0.97,Serious Defects,Serious Defects,40.55,0.2
1128,20,0.02,Moderate Defects,Moderate Defects,19.84,3.8
1129,40,0.54,Serious Defects,Serious Defects,52.28,2
1130,24,0.05,Moderate Defects,Significant Defects,37.95,3.9
1131,17,0.01,Moderate Defects,Moderate Defects,49.61,3.6
1132,46,0.97,Serious Defects,Serious Defects,48.04,0.6
1133,46,0.99,Serious Defects,Serious Defects,22.03,0.8
1134,45,0.88,Serious Defects,Serious Defects,25.6,0.2
1135,37,0.38,Serious Defects,Serious Defects,48.21,1.7
1136,35,0.27,Significant Defects,Serious Defects,24.17,2.2
1137,31,0.15,Significant Defects,Serious Defects,24.22,3
1138,25,0.06,Moderate Defects,Significant Defects,27.47,3.7
1139,15,0.01,Minor Defects,Moderate Defects,35.27,4.8
1140,45,0.89,Serious Defects,Serious Defects,45.88,0.1
1141,33,0.21,Significant Defects,Serious Defects,55.11,2.6
1142,15,0.01,Minor Defects,Moderate Defects,43.14,4.8
1143,27,0.09,Moderate Defects,Significant Defects,21.76,3.4
1144,36,0.3,Significant Defects,Serious Defects,41.21,2.6
1145,32,0.19,Significant Defects,Significant Defects,42.66,2.3
1146,15,0.01,Minor Defects,Moderate Defects,23.61,4.2
1147,21,0.03,Moderate Defects,Moderate Defects,48.37,3.4
1148,40,0.53,Serious Defects,Serious Defects,55.59,1.4
1149,37,0.37,Significant Defects,Serious Defects,49.62,2.8
1150,17,0.01,Moderate Defects,Moderate Defects,18.16,3.6
1151,15,0.01,Minor Defects,Moderate Defects,42.55,4.2
1152,46,0.96,Serious Defects,Serious Defects,53.22,1
1153,45,0.91,Serious Defects,Serious Defects,19.25,0.6
1154,23,0.04,Moderate Defects,Moderate Defects,45.42,3.5
1155,46,0.95,Serious Defects,Serious Defects,21.6,0.6
1156,41,0.6,Serious Defects,Serious Defects,28.96,1.1
1157,45,0.9,Serious Defects,Serious Defects,37.45,0.8
1158,43,0.7,Serious Defects,Serious Defects,45.76,1.3
1159,37,0.37,Significant Defects,Serious Defects,26.33,2.2
1160,43,0.72,Serious Defects,Serious Defects,28.04,1.6
1161,21,0.03,Moderate Defects,Moderate Defects,24.95,3.8
1162,35,0.29,Significant Defects,Serious Defects,48.86,2.1
1163,19,0.02,Moderate Defects,Moderate Defects,31.14,3.6
1164,32,0.18,Significant Defects,Significant Defects,36.4,2.1
1165,46,0.92,Serious Defects,Serious Defects,45.89,0.3
1166,46,0.95,Serious Defects,Serious Defects,20.21,0.2
1167,30,0.15,Significant Defects,Significant Defects,50.58,2.7
1168,25,0.06,Moderate Defects,Significant Defects,20.7,3.4
1169,44,0.79,Serious Defects,Serious Defects,48.82,1.9
1170,42,0.67,Serious Defects,Serious Defects,53.59,1.3
1171,25,0.06,Moderate Defects,Significant Defects,32.7,3.1
1172,39,0.47,Significant Defects,Serious Defects,27.71,2.3
1173,31,0.16,Significant Defects,Serious Defects,34.23,2.4
1174,29,0.12,Significant Defects,Significant Defects,42.19,3.1
1175,15,0.01,Minor Defects,Moderate Defects,42.2,5
1176,45,0.89,Serious Defects,Serious Defects,46.11,0.8
1177,43,0.7,Serious Defects,Serious Defects,35.01,1.5
1178,15,0.01,Minor Defects,Moderate Defects,32,4.4
1179,20,0.02,Moderate Defects,Moderate Defects,32.68,3.3
1180,42,0.67,Serious Defects,Serious Defects,24.1,1.8
1181,16,0.01,Minor Defects,Moderate Defects,51.86,4.5
1182,42,0.64,Serious Defects,Serious Defects,41.51,1.9
1183,46,0.93,Serious Defects,Serious Defects,25.81,0.3
1184,46,0.96,Serious Defects,Serious Defects,55.75,0.5
1185,44,0.8,Serious Defects,Serious Defects,18.57,1.6
1186,31,0.16,Significant Defects,Significant Defects,51.29,2.5
1187,15,0.01,Minor Defects,Moderate Defects,45.68,4.3
1188,16,0.01,Minor Defects,Moderate Defects,34.5,4.4
1189,42,0.61,Serious Defects,Serious Defects,39.34,1.9
1190,39,0.44,Serious Defects,Serious Defects,33.1,1.8
1191,46,0.95,Serious Defects,Serious Defects,55.37,0.8
1192,21,0.03,Moderate Defects,Moderate Defects,44.47,3.3
1193,45,0.89,Serious Defects,Serious Defects,30.5,0.6
1194,17,0.01,Moderate Defects,Moderate Defects,46.15,3.2
1195,46,0.91,Serious Defects,Serious Defects,45.38,0.3
1196,34,0.26,Significant Defects,Serious Defects,43.42,3
1197,16,0.01,Minor Defects,Moderate Defects,39.23,4.8
1198,40,0.52,Serious Defects,Serious Defects,35.95,1.7
1199,31,0.16,Significant Defects,Serious Defects,41.26,2.4
1200,46,0.99,Serious Defects,Serious Defects,27.7,0.3
1201,39,0.48,Serious Defects,Serious Defects,22.91,1.3
1202,39,0.48,Serious Defects,Serious Defects,31.21,1.3
1203,15,0.01,Minor Defects,Moderate Defects,18.89,4.5
1204,15,0.01,Minor Defects,Moderate Defects,29.04,4.3
1205,41,0.56,Serious Defects,Serious Defects,28.04,1.8
1206,15,0.01,Minor Defects,Moderate Defects,23.13,4.7
1207,16,0.01,Minor Defects,Moderate Defects,42.66,4.3
1208,46,0.93,Serious Defects,Serious Defects,53.75,0.7
1209,21,0.03,Moderate Defects,Moderate Defects,29.14,3.3
1210,26,0.07,Significant Defects,Significant Defects,55.58,3.1
1211,46,0.91,Serious Defects,Serious Defects,42.87,0.1
1212,15,0.01,Minor Defects,Moderate Defects,45.18,4.4
1213,32,0.18,Significant Defects,Significant Defects,19.45,2.3
1214,16,0.01,Minor Defects,Moderate Defects,24.7,5
1215,26,0.08,Significant Defects,Significant Defects,38.52,3.1
1216,15,0.01,Minor Defects,Moderate Defects,37.79,4.8
1217,46,0.92,Serious Defects,Serious Defects,35.69,0.1
1218,38,0.39,Significant Defects,Serious Defects,37.61,2.9
1219,34,0.24,Significant Defects,Serious Defects,52.03,2.6
1220,46,0.91,Serious Defects,Serious Defects,29.47,0.6
1221,26,0.07,Moderate Defects,Significant Defects,45.92,3.4
1222,36,0.32,Serious Defects,Serious Defects,39.82,2.2
1223,36,0.3,Significant Defects,Serious Defects,27.96,2.1
1224,40,0.5,Serious Defects,Serious Defects,33.16,1.9
1225,21,0.03,Moderate Defects,Moderate Defects,44.08,3.1
1226,46,0.96,Serious Defects,Serious Defects,20.71,0.1
1227,29,0.12,Significant Defects,Significant Defects,44.43,3.1
1228,16,0.01,Minor Defects,Moderate Defects,37.58,4.2
1229,46,0.98,Serious Defects,Serious Defects,45.46,0.5
1230,18,0.01,Moderate Defects,Moderate Defects,29.05,4
1231,15,0.01,Minor Defects,Moderate Defects,31.28,4.4
1232,33,0.22,Significant Defects,Serious Defects,37.25,2.1
1233,45,0.86,Serious Defects,Serious Defects,53.51,1.8
1234,39,0.48,Serious Defects,Serious Defects,36.96,1.7
1235,46,0.98,Serious Defects,Serious Defects,45.44,0.4
1236,39,0.46,Serious Defects,Serious Defects,49.93,1.1
1237,25,0.06,Moderate Defects,Significant Defects,23.04,3.9
1238,36,0.33,Significant Defects,Serious Defects,28.07,2.4
1239,40,0.52,Serious Defects,Serious Defects,29.67,1.9
1240,29,0.12,Significant Defects,Significant Defects,52.27,3.6
1241,24,0.05,Moderate Defects,Significant Defects,45.2,3.4
1242,15,0.01,Minor Defects,Moderate Defects,39.12,4.3
1243,34,0.25,Significant Defects,Serious Defects,50.75,2.1
1244,45,0.89,Serious Defects,Serious Defects,31.96,0.5
1245,42,0.61,Serious Defects,Serious Defects,27.6,1.4
1246,46,0.93,Serious Defects,Serious Defects,49.54,0.7
1247,35,0.29,Significant Defects,Serious Defects,34.67,2.5
1248,25,0.06,Moderate Defects,Significant Defects,28.03,3.1
1249,28,0.1,Moderate Defects,Significant Defects,53.78,4
1250,42,0.62,Serious Defects,Serious Defects,44.47,1.9
1251,15,0.01,Minor Defects,Moderate Defects,45.47,4.3
1252,39,0.47,Serious Defects,Serious Defects,22.24,1.3
1253,18,0.01,Moderate Defects,Moderate Defects,40.2,3.4
1254,38,0.42,Serious Defects,Serious Defects,34.62,1.5
1255,29,0.12,Significant Defects,Significant Defects,49.44,3.1
1256,25,0.06,Moderate Defects,Significant Defects,35.25,3.7
1257,36,0.33,Serious Defects,Serious Defects,54.61,3
1258,16,0.01,Minor Defects,Moderate Defects,53.18,4.4
1259,15,0.01,Minor Defects,Moderate Defects,52.33,4.6
1260,34,0.24,Significant Defects,Serious Defects,55.32,2.3
1261,34,0.24,Significant Defects,Serious Defects,48.51,2.8
1262,46,1,Serious Defects,Serious Defects,34.51,0.4
1263,39,0.45,Serious Defects,Serious Defects,31.19,1.3
1264,46,0.94,Serious Defects,Serious Defects,46.82,0.4
1265,16,0.01,Minor Defects,Moderate Defects,41.66,4.7
1266,46,0.96,Serious Defects,Serious Defects,44.99,1
1267,45,0.91,Serious Defects,Serious Defects,48.83,0.8
1268,25,0.06,Moderate Defects,Significant Defects,41.55,3.4
1269,17,0.01,Moderate Defects,Moderate Defects,19.18,3.9
1270,38,0.41,Significant Defects,Serious Defects,20.72,2.7
1271,15,0.01,Minor Defects,Moderate Defects,19.39,5
1272,46,0.98,Serious Defects,Serious Defects,53.48,0.8
1273,33,0.21,Significant Defects,Significant Defects,35.42,3
1274,41,0.56,Serious Defects,Serious Defects,33.66,1.1
1275,45,0.83,Serious Defects,Serious Defects,33.92,1.3
1276,29,0.13,Significant Defects,Significant Defects,34.7,2.4
1277,37,0.35,Significant Defects,Serious Defects,44.79,2.4
1278,46,0.99,Serious Defects,Serious Defects,30.61,0.2
1279,46,0.98,Serious Defects,Serious Defects,38.82,0.7
1280,25,0.06,Moderate Defects,Significant Defects,25.01,3.3
1281,15,0.01,Minor Defects,Moderate Defects,45.59,5
1282,31,0.16,Significant Defects,Significant Defects,20.33,2.8
1283,38,0.42,Serious Defects,Serious Defects,48.85,1.2
1284,44,0.77,Serious Defects,Serious Defects,24.19,1.1
1285,15,0.01,Minor Defects,Moderate Defects,30.42,4.1
1286,46,0.95,Serious Defects,Serious Defects,32.47,0.1
1287,15,0.01,Minor Defects,Moderate Defects,39.77,5
1288,46,0.91,Serious Defects,Serious Defects,33.89,0.5
1289,16,0.01,Minor Defects,Moderate Defects,38.3,4.4
1290,30,0.14,Significant Defects,Significant Defects,48.09,2.4
1291,40,0.52,Serious Defects,Serious Defects,55.38,1.1
1292,37,0.38,Serious Defects,Serious Defects,22.89,1.3
1293,38,0.39,Significant Defects,Serious Defects,45.2,2.7
1294,27,0.09,Significant Defects,Significant Defects,41.88,4
1295,25,0.06,Moderate Defects,Significant Defects,49.92,3.3
1296,39,0.44,Serious Defects,Serious Defects,24.45,1.8
1297,43,0.72,Serious Defects,Serious Defects,45.82,1.8
1298,31,0.16,Significant Defects,Significant Defects,54.87,2.4
1299,39,0.46,Serious Defects,Serious Defects,39.96,1.3
1300,45,0.85,Serious Defects,Serious Defects,40.6,1.5
1301,16,0.01,Minor Defects,Moderate Defects,39,5
1302,35,0.29,Significant Defects,Serious Defects,19.72,2.8
1303,39,0.47,Serious Defects,Serious Defects,38.89,1.3
1304,15,0.01,Minor Defects,Moderate Defects,35.14,4.5
1305,36,0.32,Significant Defects,Serious Defects,35.76,2.4
1306,38,0.39,Serious Defects,Serious Defects,51.96,1.4
1307,39,0.48,Serious Defects,Serious Defects,36.99,1.6
1308,45,0.88,Serious Defects,Serious Defects,42.2,0.7
1309,28,0.11,Significant Defects,Significant Defects,19.66,3.5
1310,16,0.01,Minor Defects,Moderate Defects,36.3,4.8
1311,31,0.16,Significant Defects,Significant Defects,40.68,2.7
1312,30,0.14,Significant Defects,Significant Defects,28.98,2.1
1313,37,0.38,Serious Defects,Serious Defects,23.37,1.6
1314,15,0.01,Minor Defects,Moderate Defects,48.51,4.6
1315,31,0.15,Significant Defects,Significant Defects,52.21,2.4
1316,36,0.32,Serious Defects,Serious Defects,31.39,3
1317,46,0.91,Serious Defects,Serious Defects,40.22,0.8
1318,46,0.93,Serious Defects,Serious Defects,53.28,0.4
1319,32,0.19,Significant Defects,Serious Defects,32.72,2.5
1320,46,0.96,Serious Defects,Serious Defects,39.71,0.6
1321,45,0.91,Serious Defects,Serious Defects,23.57,0.2
1322,32,0.19,Significant Defects,Serious Defects,31.27,2.6
1323,16,0.01,Minor Defects,Moderate Defects,44.08,5
1324,39,0.45,Serious Defects,Serious Defects,55.38,1.8
1325,45,0.9,Serious Defects,Serious Defects,53.38,0.4
1326,45,0.89,Serious Defects,Serious Defects,29.17,0.8
1327,16,0.01,Minor Defects,Moderate Defects,41.65,4.3
1328,46,1,Serious Defects,Serious Defects,49.59,1
1329,23,0.04,Moderate Defects,Significant Defects,54.79,3.1
1330,32,0.18,Significant Defects,Serious Defects,51.12,2.5
1331,23,0.04,Moderate Defects,Significant Defects,41.04,3.4
1332,15,0.01,Minor Defects,Moderate Defects,36.92,5
1333,46,0.91,Serious Defects,Serious Defects,35.06,0.6
1334,15,0.01,Minor Defects,Moderate Defects,50.97,4.2
1335,33,0.21,Significant Defects,Significant Defects,20.34,2.5
1336,42,0.61,Serious Defects,Serious Defects,25.66,1.1
1337,41,0.55,Serious Defects,Serious Defects,28.93,1.8
1338,43,0.67,Serious Defects,Serious Defects,45,1.7
1339,36,0.34,Significant Defects,Serious Defects,47.62,2.8
1340,39,0.43,Serious Defects,Serious Defects,46.54,1.2
1341,15,0.01,Minor Defects,Moderate Defects,22.09,4.4
1342,15,0.01,Minor Defects,Moderate Defects,18.3,4.7
1343,45,0.88,Serious Defects,Serious Defects,24.27,0.7
1344,33,0.22,Significant Defects,Serious Defects,34.51,2.9
1345,26,0.07,Significant Defects,Significant Defects,52.09,3.7
1346,15,0.01,Minor Defects,Moderate Defects,46.76,4.1
1347,45,0.9,Serious Defects,Serious Defects,48.53,0.3
1348,30,0.15,Significant Defects,Significant Defects,45.93,2.8
1349,32,0.2,Significant Defects,Serious Defects,23.36,2.4
1350,33,0.23,Significant Defects,Serious Defects,38.07,3
1351,22,0.04,Moderate Defects,Moderate Defects,29.04,3.9
1352,15,0.01,Minor Defects,Moderate Defects,45.93,4.9
1353,46,0.97,Serious Defects,Serious Defects,35.62,0.3
1354,15,0.01,Minor Defects,Moderate Defects,48.19,5
1355,23,0.04,Moderate Defects,Moderate Defects,34.56,3.2
1356,46,0.93,Serious Defects,Serious Defects,44.82,0.7
1357,45,0.87,Serious Defects,Serious Defects,31.03,1.7
1358,44,0.79,Serious Defects,Serious Defects,32.85,2
1359,16,0.01,Moderate Defects,Moderate Defects,27.58,3.5
1360,46,0.93,Serious Defects,Serious Defects,24.1,0.8
1361,41,0.6,Serious Defects,Serious Defects,36.72,1.6
1362,16,0.01,Minor Defects,Moderate Defects,46.43,5
1363,21,0.03,Moderate Defects,Moderate Defects,27.78,3.9
1364,45,0.91,Serious Defects,Serious Defects,36.8,0.3
1365,46,0.99,Serious Defects,Serious Defects,54.17,0.5
1366,43,0.67,Serious Defects,Serious Defects,21.84,1.6
1367,45,0.9,Serious Defects,Serious Defects,31.86,0.2
1368,15,0.01,Minor Defects,Moderate Defects,43.67,4.7
1369,31,0.16,Significant Defects,Significant Defects,31.46,2.5
1370,46,0.95,Serious Defects,Serious Defects,31.47,0.2
1371,38,0.41,Serious Defects,Serious Defects,51.35,1.4
1372,32,0.18,Significant Defects,Serious Defects,38.38,2.5
1373,15,0.01,Minor Defects,Moderate Defects,18.88,4.6
1374,15,0.01,Minor Defects,Moderate Defects,44.92,4.8
1375,37,0.35,Serious Defects,Serious Defects,22.69,2.9
1376,46,1,Serious Defects,Serious Defects,43.86,0.6
1377,42,0.62,Serious Defects,Serious Defects,21.58,1.5
1378,45,0.88,Serious Defects,Serious Defects,46.55,0.5
1379,19,0.02,Moderate Defects,Moderate Defects,33.52,3.5
1380,45,0.89,Serious Defects,Serious Defects,24.2,1
1381,37,0.38,Serious Defects,Serious Defects,46.91,1.6
1382,34,0.25,Significant Defects,Serious Defects,52.48,2.5
1383,15,0.01,Minor Defects,Moderate Defects,45.82,4.4
1384,15,0.01,Minor Defects,Moderate Defects,40.83,4.9
1385,34,0.25,Significant Defects,Serious Defects,39.31,2.9
1386,46,0.99,Serious Defects,Serious Defects,52.88,0.3
1387,45,0.89,Serious Defects,Serious Defects,37.15,0.8
1388,17,0.01,Moderate Defects,Moderate Defects,35.62,3.4
1389,15,0.01,Minor Defects,Moderate Defects,34.76,4.1
1390,16,0.01,Minor Defects,Moderate Defects,45.09,4.1
1391,39,0.46,Serious Defects,Serious Defects,29.59,1.3
1392,42,0.61,Serious Defects,Serious Defects,38.55,1.4
1393,45,0.91,Serious Defects,Serious Defects,24.01,0.7
1394,46,0.92,Serious Defects,Serious Defects,42.65,0.1
1395,33,0.21,Significant Defects,Serious Defects,20.68,2.2
1396,46,0.93,Serious Defects,Serious Defects,40.45,1
1397,16,0.01,Minor Defects,Moderate Defects,22.49,4.3
1398,19,0.02,Moderate Defects,Moderate Defects,40.44,4
1399,45,0.88,Serious Defects,Serious Defects,40.15,0.5
1400,16,0.01,Minor Defects,Moderate Defects,36.49,4.8
1401,45,0.91,Serious Defects,Serious Defects,45.89,0.8
1402,34,0.26,Significant Defects,Serious Defects,31.15,2.7
1403,25,0.06,Moderate Defects,Significant Defects,46.6,3.3
1404,30,0.14,Significant Defects,Serious Defects,32.2,2.9
1405,21,0.03,Moderate Defects,Moderate Defects,37.14,3.9
1406,43,0.7,Serious Defects,Serious Defects,47.06,1.1
1407,46,0.97,Serious Defects,Serious Defects,38.09,0.3
1408,18,0.01,Moderate Defects,Moderate Defects,31.75,4
1409,42,0.64,Serious Defects,Serious Defects,37.17,1.2
1410,32,0.18,Significant Defects,Significant Defects,55.75,2.9
1411,15,0.01,Minor Defects,Moderate Defects,19.62,4.6
1412,46,0.96,Serious Defects,Serious Defects,29.87,0.1
1413,42,0.63,Serious Defects,Serious Defects,41.27,1.9
1414,15,0.01,Minor Defects,Moderate Defects,48.66,4.3
1415,28,0.1,Significant Defects,Significant Defects,54.66,4
1416,18,0.01,Moderate Defects,Moderate Defects,23.02,3.4
1417,46,0.93,Serious Defects,Serious Defects,22.19,0.3
1418,45,0.88,Serious Defects,Serious Defects,50.68,0.6
1419,39,0.44,Serious Defects,Serious Defects,54.02,1.4
1420,46,0.94,Serious Defects,Serious Defects,50.19,0.4
1421,46,0.96,Serious Defects,Serious Defects,52.25,0.1
1422,25,0.06,Moderate Defects,Significant Defects,51.02,3.1
1423,26,0.07,Significant Defects,Significant Defects,29.84,3.9
1424,39,0.44,Significant Defects,Serious Defects,34.85,2.2
1425,30,0.14,Significant Defects,Serious Defects,27.7,2.9
1426,30,0.13,Significant Defects,Serious Defects,53.1,2.3
1427,15,0.01,Minor Defects,Moderate Defects,37.1,4.2
1428,41,0.56,Serious Defects,Serious Defects,20.77,1.6
1429,32,0.18,Significant Defects,Serious Defects,54.64,2.7
1430,15,0.01,Minor Defects,Moderate Defects,22.77,4.2
1431,33,0.22,Significant Defects,Serious Defects,31.73,2.4
1432,17,0.01,Moderate Defects,Moderate Defects,29.16,3.9
1433,15,0.01,Minor Defects,Moderate Defects,52.8,4.3
1434,38,0.42,Serious Defects,Serious Defects,27.58,1.8
1435,15,0.01,Minor Defects,Moderate Defects,28.69,4.3
1436,16,0.01,Minor Defects,Moderate Defects,20.33,4.4
1437,16,0.01,Minor Defects,Moderate Defects,31.97,4.4
1438,46,1,Serious Defects,Serious Defects,23.46,0.2
1439,26,0.07,Moderate Defects,Significant Defects,21.52,3.3
1440,38,0.42,Serious Defects,Serious Defects,52.45,1.5
1441,41,0.54,Serious Defects,Serious Defects,36.04,1.5
1442,37,0.34,Significant Defects,Serious Defects,37.63,2.9
1443,35,0.27,Significant Defects,Serious Defects,44.89,2.5
1444,16,0.01,Minor Defects,Moderate Defects,50.67,4.8
1445,38,0.4,Significant Defects,Serious Defects,37.81,2.4
1446,44,0.76,Serious Defects,Serious Defects,53.99,1.8
1447,31,0.17,Significant Defects,Serious Defects,50.62,2.4
1448,38,0.39,Serious Defects,Serious Defects,22.44,1.2
1449,37,0.35,Serious Defects,Serious Defects,42.82,2.5
1450,39,0.46,Serious Defects,Serious Defects,27.08,1.7
1451,28,0.1,Significant Defects,Significant Defects,23.73,3.9
1452,41,0.57,Serious Defects,Serious Defects,21.93,1.3
1453,32,0.19,Significant Defects,Significant Defects,29.52,2.1
1454,15,0.01,Minor Defects,Moderate Defects,32.58,5
1455,32,0.19,Significant Defects,Significant Defects,44.57,3
1456,35,0.28,Significant Defects,Serious Defects,41,3
1457,42,0.62,Serious Defects,Serious Defects,48.21,1.8
1458,44,0.79,Serious Defects,Serious Defects,42.54,2
1459,43,0.73,Serious Defects,Serious Defects,45.79,1.3
1460,46,0.95,Serious Defects,Serious Defects,22.69,0.7
1461,15,0.01,Minor Defects,Moderate Defects,21.96,4.3
1462,16,0.01,Minor Defects,Moderate Defects,42,4.6
1463,29,0.11,Significant Defects,Significant Defects,50.6,3.5
1464,42,0.66,Serious Defects,Serious Defects,49.71,1.5
1465,24,0.05,Moderate Defects,Significant Defects,29.81,3.9
1466,16,0.01,Minor Defects,Moderate Defects,42.81,4.8
1467,31,0.16,Significant Defects,Significant Defects,20.77,2.6
1468,38,0.42,Serious Defects,Serious Defects,45.66,1.2
1469,36,0.33,Significant Defects,Serious Defects,18.52,2.1
1470,22,0.03,Moderate Defects,Moderate Defects,41.52,3.5
1471,46,0.94,Serious Defects,Serious Defects,19.09,0.1
1472,15,0.01,Minor Defects,Moderate Defects,35.94,4.9
1473,31,0.16,Significant Defects,Serious Defects,51.05,3
1474,20,0.02,Moderate Defects,Moderate Defects,46.59,3.6
1475,17,0.01,Moderate Defects,Moderate Defects,41.79,3.6
1476,15,0.01,Minor Defects,Moderate Defects,25.54,5
1477,16,0.01,Minor Defects,Moderate Defects,41.44,4.9
1478,15,0.01,Minor Defects,Moderate Defects,20.44,4.6
1479,46,1,Serious Defects,Serious Defects,24.01,0.7
1480,42,0.65,Serious Defects,Serious Defects,33.87,2
1481,40,0.5,Serious Defects,Serious Defects,36.46,1.5
1482,15,0.01,Minor Defects,Moderate Defects,24.55,4.3
1483,26,0.07,Significant Defects,Significant Defects,31.7,3.1
1484,42,0.64,Serious Defects,Serious Defects,25.36,1.7
1485,44,0.76,Serious Defects,Serious Defects,20.65,1.4
1486,34,0.25,Significant Defects,Serious Defects,26.6,2.2
1487,15,0.01,Minor Defects,Moderate Defects,22.41,5
